Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Tayler Saucedo ,30,SEA,AL,2,1,0.667,2.54,29,0,12,0,0,0,28.1,26,9,8,1,13,1,29,2,0,1,124,163,3.29,1.376,8.3,0.3,4.1,9.2,2.23
Josh Sborz,29,TEX,AL,4,4,0.5,4.54,29,0,5,0,0,0,37.2,28,19,19,4,13,0,52,1,0,2,153,97,3.02,1.088,6.7,1.0,3.1,12.4,4.0
Max Scherzer,38,NYM,NL,8,4,0.667,4.2,18,18,0,0,0,0,100.2,92,48,47,22,28,0,114,3,0,1,416,98,4.79,1.192,8.2,2.0,2.5,10.2,4.07
Clarke Schmidt,27,NYY,AL,6,6,0.5,4.33,21,20,1,0,0,0,99.2,104,54,48,15,28,0,97,6,2,3,431,98,4.32,1.324,9.4,1.4,2.5,8.8,3.46
Jesse Scholtens,29,CHW,AL,1,2,0.333,3.15,13,2,7,0,0,1,34.1,32,13,12,4,11,0,18,0,0,1,142,140,4.72,1.252,8.4,1.0,2.9,4.7,1.64
Jonathan Schoop,31,DET,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.1,1,0,0,0,0,0,1,0,0,0,5,0,1.79,0.75,6.8,0.0,0.0,6.8,0.0
John Schreiber,29,BOS,AL,1,0,1.0,2.12,18,0,2,0,0,0,17.0,14,5,4,1,8,0,21,1,0,0,70,224,3.17,1.294,7.4,0.5,4.2,11.1,2.63
Tanner Scott ,28,MIA,NL,4,3,0.571,2.87,46,0,8,0,0,2,47.0,33,15,15,2,18,2,71,3,0,0,189,152,2.16,1.085,6.3,0.4,3.4,13.6,3.94
Tayler Scott,31,TOT,MLB,0,0,0.0,7.36,11,1,2,0,0,0,11.0,13,10,9,2,8,2,12,2,0,1,55,66,6.2,1.909,10.6,1.6,6.5,9.8,1.5
Tayler Scott,31,TOT,AL,0,0,0.0,5.4,5,1,1,0,0,0,5.0,7,4,3,2,4,0,4,1,0,1,25,94,9.89,2.2,12.6,3.6,7.2,7.2,1.0
Tayler Scott,31,LAD,NL,0,0,0.0,9.0,6,0,1,0,0,0,6.0,6,6,6,0,4,2,8,1,0,0,30,52,3.12,1.667,9.0,0.0,6.0,12.0,2.0
Tayler Scott,31,BOS,AL,0,0,0.0,4.91,4,1,1,0,0,0,3.2,6,3,2,1,4,0,2,1,0,1,20,103,9.83,2.727,14.7,2.5,9.8,4.9,0.5
Tayler Scott,31,OAK,AL,0,0,0.0,6.75,1,0,0,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,77,10.04,0.75,6.8,6.8,0.0,13.5,0.0
Connor Seabold,27,COL,NL,1,7,0.125,7.18,20,13,3,0,0,0,72.2,90,61,58,17,24,1,54,7,0,3,336,70,6.12,1.569,11.1,2.1,3.0,6.7,2.25
JP Sears ,27,OAK,AL,1,7,0.125,4.19,20,20,0,0,0,0,111.2,93,55,52,24,24,0,101,11,0,1,454,97,5.21,1.048,7.5,1.9,1.9,8.1,4.21
Kodai Senga,30,NYM,NL,7,5,0.583,3.27,18,18,0,0,0,0,99.0,75,41,36,11,50,0,125,3,1,8,421,126,3.81,1.263,6.8,1.0,4.5,11.4,2.5
Antonio Senzatela,28,COL,NL,0,1,0.0,4.7,2,2,0,0,0,0,7.2,7,4,4,3,2,0,4,0,0,0,30,111,8.12,1.174,8.2,3.5,2.3,4.7,2.0
Luis Severino,29,NYY,AL,1,4,0.2,6.66,10,10,0,0,0,0,48.2,64,41,36,12,22,1,40,2,2,0,233,64,6.33,1.767,11.8,2.2,4.1,7.4,1.82
Paul Sewald,33,SEA,AL,3,0,1.0,2.95,41,0,28,0,0,19,39.2,27,13,13,4,13,1,58,0,0,1,155,140,2.66,1.008,6.1,0.9,2.9,13.2,4.46
Bryan Shaw,35,CHW,AL,0,0,0.0,9.39,6,0,2,0,0,0,7.2,11,8,8,2,3,0,4,2,0,1,38,48,7.59,1.826,12.9,2.3,3.5,4.7,1.33
Emmet Sheehan,23,LAD,NL,3,0,1.0,4.91,5,5,0,0,0,0,25.2,19,14,14,4,11,0,18,0,0,0,105,91,5.2,1.169,6.7,1.4,3.9,6.3,1.64
Ryan Sherriff ,33,BOS,AL,0,0,0.0,2.7,5,0,1,0,0,0,6.2,6,2,2,0,2,0,5,1,0,0,29,181,3.14,1.2,8.1,0.0,2.7,6.8,2.5
Zack Short,28,DET,AL,0,0,0.0,3.0,3,0,3,0,0,0,3.0,7,1,1,0,0,0,0,1,0,0,17,161,4.29,2.333,21.0,0.0,0.0,0.0,0.0
Chasen Shreve ,32,DET,AL,1,2,0.333,4.46,41,0,9,0,0,0,36.1,37,19,18,6,11,0,38,1,0,3,156,98,4.33,1.321,9.2,1.5,2.7,9.4,3.45
Jared Shuster ,24,ATL,NL,4,2,0.667,5.0,9,9,0,0,0,0,45.0,42,25,25,4,22,0,25,1,0,3,193,91,4.87,1.422,8.4,0.8,4.4,5.0,1.14
Chase Silseth,23,LAA,AL,2,1,0.667,4.44,10,2,3,0,0,0,24.1,21,15,12,4,15,0,25,0,1,4,107,101,5.22,1.479,7.8,1.5,5.5,9.2,1.67
Lucas Sims,29,CIN,NL,3,2,0.6,3.2,41,0,2,0,0,1,39.1,20,14,14,4,23,1,48,7,0,3,164,149,4.46,1.093,4.6,0.9,5.3,11.0,2.09
Brady Singer,26,KCR,AL,6,8,0.429,5.55,20,20,0,0,0,0,108.2,124,69,67,12,36,0,90,5,0,2,479,79,4.2,1.472,10.3,1.0,3.0,7.5,2.5
Tarik Skubal ,26,DET,AL,0,1,0.0,5.25,3,3,0,0,0,0,12.0,10,7,7,0,3,0,14,1,0,0,48,84,1.96,1.083,7.5,0.0,2.3,10.5,4.67
Ethan Small ,26,MIL,NL,0,0,0.0,15.0,1,0,0,0,0,0,3.0,9,5,5,1,0,0,5,0,0,1,18,32,4.29,3.0,27.0,3.0,0.0,15.0,0.0
Devin Smeltzer ,27,MIA,NL,0,1,0.0,6.89,6,1,2,0,0,0,15.2,21,14,12,6,4,0,10,3,0,1,73,64,8.33,1.596,12.1,3.4,2.3,5.7,2.5
Chad Smith,28,OAK,AL,1,1,0.5,6.75,9,0,4,0,0,0,12.0,14,9,9,1,6,0,9,1,0,1,53,62,4.62,1.667,10.5,0.8,4.5,6.8,1.5
Drew Smith,29,NYM,NL,4,3,0.571,4.5,35,0,9,0,0,2,32.0,30,20,16,4,16,0,36,4,0,1,141,92,4.54,1.438,8.4,1.1,4.5,10.1,2.25
Will Smith ,33,TEX,AL,1,3,0.25,2.75,36,0,28,0,0,17,36.0,21,12,11,2,8,2,38,0,0,1,135,160,2.57,0.806,5.3,0.5,2.0,9.5,4.75
AJ Smith-Shawver,20,ATL,NL,1,0,1.0,4.32,4,3,0,0,0,0,16.2,13,10,8,5,6,0,15,1,0,1,69,106,6.65,1.14,7.0,2.7,3.2,8.1,2.5
Drew Smyly ,34,CHC,NL,7,7,0.5,4.69,20,19,0,0,0,0,103.2,108,59,54,17,36,0,91,4,1,3,452,95,4.82,1.389,9.4,1.5,3.1,7.9,2.53
Blake Snell ,30,SDP,NL,6,8,0.429,2.67,20,20,0,0,0,0,108.0,79,33,32,11,59,0,143,2,0,8,453,153,3.66,1.278,6.6,0.9,4.9,11.9,2.42
Collin Snider,27,KCR,AL,0,0,0.0,7.71,5,0,1,0,0,0,4.2,7,4,4,0,4,0,3,0,0,0,25,61,4.57,2.357,13.5,0.0,7.7,5.8,0.75
Peter Solomon,26,ARI,NL,0,0,0.0,12.15,5,0,2,0,0,0,13.1,17,18,18,2,11,0,6,1,0,1,67,36,7.04,2.1,11.5,1.4,7.4,4.1,0.55
George Soriano,24,MIA,NL,0,0,0.0,1.99,9,0,3,0,0,1,22.2,15,8,5,0,9,1,21,3,1,0,96,221,3.02,1.059,6.0,0.0,3.6,8.3,2.33
José Soriano,24,LAA,AL,0,0,0.0,3.38,15,0,3,0,0,0,16.0,10,7,6,1,13,0,26,5,0,0,74,134,4.23,1.438,5.6,0.6,7.3,14.6,2.0
Michael Soroka,25,ATL,NL,2,1,0.667,5.52,6,5,0,0,0,0,29.1,32,18,18,7,11,0,23,4,0,2,131,82,6.36,1.466,9.8,2.1,3.4,7.1,2.09
Gregory Soto ,28,PHI,NL,2,4,0.333,4.66,42,0,9,0,0,1,36.2,29,21,19,2,16,0,37,2,0,4,155,93,3.45,1.227,7.1,0.5,3.9,9.1,2.31
Bennett Sousa ,28,MIL,NL,0,0,0.0,13.5,2,0,2,0,0,0,2.2,5,4,4,1,2,0,2,0,0,0,14,36,8.91,2.625,16.9,3.4,6.8,6.8,1.0
Alex Speas,25,TEX,AL,0,1,0.0,10.8,2,0,0,0,0,0,1.2,1,2,2,0,3,1,3,0,0,1,8,49,5.09,2.4,5.4,0.0,16.2,16.2,1.0
Gabe Speier ,28,SEA,AL,2,1,0.667,4.26,41,0,7,0,0,0,31.2,27,15,15,3,5,1,31,2,0,2,122,97,3.23,1.011,7.7,0.9,1.4,8.8,6.2
Jeffrey Springs ,30,TBR,AL,2,0,1.0,0.56,3,3,0,0,0,0,16.0,4,1,1,1,4,0,24,0,0,0,55,745,1.85,0.5,2.3,0.6,2.3,13.5,6.0
Jacob Stallings,33,MIA,NL,0,0,0.0,6.75,4,0,4,0,0,0,4.0,7,3,3,1,0,0,1,1,0,0,18,70,6.79,1.75,15.8,2.3,0.0,2.3,0.0
Ryne Stanek,31,HOU,AL,2,1,0.667,4.76,36,0,8,0,0,0,34.0,31,19,18,4,19,1,35,0,1,2,150,89,4.44,1.471,8.2,1.1,5.0,9.3,1.84
Josh Staumont,29,KCR,AL,0,0,0.0,5.4,21,1,5,0,0,0,20.0,16,12,12,1,13,0,24,2,0,3,89,83,3.79,1.45,7.2,0.5,5.9,10.8,1.85
Justin Steele ,27,CHC,NL,10,3,0.769,2.95,18,18,0,0,0,0,103.2,94,37,34,6,21,0,96,6,1,4,423,152,2.97,1.109,8.2,0.5,1.8,8.3,4.57
Trevor Stephan,27,CLE,AL,5,4,0.556,3.21,44,0,8,0,0,2,42.0,41,18,15,6,15,0,44,1,0,2,180,130,4.19,1.333,8.8,1.3,3.2,9.4,2.93
Robert Stephenson,30,TOT,MLB,1,4,0.2,4.15,36,0,10,0,0,0,30.1,22,16,14,5,13,1,41,0,0,0,124,105,4.01,1.154,6.5,1.5,3.9,12.2,3.15
Robert Stephenson,30,PIT,NL,0,3,0.0,5.14,18,0,5,0,0,0,14.0,12,9,8,3,8,1,17,0,0,0,61,89,5.36,1.429,7.7,1.9,5.1,10.9,2.13
Robert Stephenson,30,TBR,AL,1,1,0.5,3.31,18,0,5,0,0,0,16.1,10,7,6,2,5,0,24,0,0,0,63,127,2.86,0.918,5.5,1.1,2.8,13.2,4.8
Brock Stewart,31,MIN,AL,2,0,1.0,0.7,25,0,4,0,0,1,25.2,15,2,2,1,11,3,35,1,0,1,99,623,2.47,1.013,5.3,0.4,3.9,12.3,3.18
Gavin Stone,24,LAD,NL,0,0,0.0,12.75,4,3,0,0,0,0,12.0,28,18,17,1,8,0,8,0,0,0,71,36,5.04,3.0,21.0,0.8,6.0,6.0,1.0
Levi Stoudt,25,CIN,NL,0,1,0.0,9.9,3,2,0,0,0,0,10.0,15,11,11,1,7,0,8,0,1,0,52,49,5.09,2.2,13.5,0.9,6.3,7.2,1.14
Matt Strahm ,31,PHI,NL,6,3,0.667,3.6,31,9,4,0,0,1,60.0,47,25,24,9,15,0,76,3,1,1,241,120,3.61,1.033,7.1,1.4,2.3,11.4,5.07
Chris Stratton,32,STL,NL,1,1,0.5,4.09,39,0,17,0,0,1,50.2,42,25,23,3,13,0,55,1,0,4,205,107,2.72,1.086,7.5,0.5,2.3,9.8,4.23
Spencer Strider,24,ATL,NL,11,3,0.786,3.78,20,20,0,0,0,0,116.2,92,53,49,16,35,1,189,6,2,4,476,119,2.89,1.089,7.1,1.2,2.7,14.6,5.4
Ross Stripling,33,SFG,NL,0,3,0.0,5.92,14,9,2,0,0,0,51.2,58,35,34,13,11,0,42,1,1,0,220,73,5.63,1.335,10.1,2.3,1.9,7.3,3.82
Marcus Stroman,32,CHC,NL,10,7,0.588,3.09,21,21,0,1,1,0,122.1,94,47,42,7,46,0,105,3,0,2,498,145,3.52,1.144,6.9,0.5,3.4,7.7,2.28
Peter Strzelecki,28,MIL,NL,3,5,0.375,4.54,36,0,5,0,0,0,35.2,32,18,18,3,10,1,37,8,0,0,156,96,3.82,1.178,8.1,0.8,2.5,9.3,3.7
José Suarez ,25,LAA,AL,1,2,0.333,9.62,6,6,0,0,0,0,24.1,37,27,26,9,15,0,21,0,0,1,123,47,8.22,2.137,13.7,3.3,5.5,7.8,1.4
Ranger Suárez ,27,PHI,NL,2,5,0.286,4.07,13,13,0,0,0,0,73.0,75,34,33,7,27,0,67,1,0,4,313,106,3.85,1.397,9.2,0.9,3.3,8.3,2.48
Robert Suarez,32,SDP,NL,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
Wander Suero,31,LAD,NL,0,0,0.0,8.1,4,0,3,0,0,0,6.2,4,6,6,2,4,0,7,0,0,0,28,57,6.89,1.2,5.4,2.7,5.4,9.5,1.75
Cole Sulser,33,ARI,NL,0,0,0.0,6.23,3,0,0,0,0,0,4.1,3,3,3,2,3,0,4,0,0,0,18,74,9.52,1.385,6.2,4.2,6.2,8.3,1.33
Brent Suter ,33,COL,NL,4,0,1.0,2.74,32,0,8,0,0,0,42.2,35,18,13,2,14,0,35,1,0,1,175,185,3.31,1.148,7.4,0.4,3.0,7.4,2.5
Erik Swanson,29,TOR,AL,2,2,0.5,2.93,46,0,8,0,0,2,46.0,31,15,15,6,17,0,51,0,0,0,180,144,3.88,1.043,6.1,1.2,3.3,10.0,3.0
Devin Sweet,26,SEA,AL,0,0,0.0,18.0,1,0,1,0,0,0,1.0,1,2,2,1,1,0,0,0,0,0,5,31,19.29,2.0,9.0,9.0,9.0,0.0,0.0
Noah Syndergaard,30,LAD,NL,1,4,0.2,7.16,12,12,0,0,0,0,55.1,71,44,44,12,9,0,38,6,0,0,246,62,5.55,1.446,11.5,2.0,1.5,6.2,4.22
Jameson Taillon,31,CHC,NL,3,6,0.333,6.05,16,16,0,0,0,0,77.1,85,57,52,14,23,0,67,3,0,1,335,74,4.92,1.397,9.9,1.6,2.7,7.8,2.91
Domingo Tapia,31,SDP,NL,0,1,0.0,3.57,15,0,6,0,0,1,17.2,13,8,7,2,12,1,14,1,0,0,75,116,5.38,1.415,6.6,1.0,6.1,7.1,1.17
Freddy Tarnok,24,OAK,AL,0,1,0.0,4.76,2,0,1,0,0,0,5.2,3,3,3,2,5,0,3,0,0,1,24,91,9.47,1.412,4.8,3.2,7.9,4.8,0.6
Josh Taylor ,30,KCR,AL,1,3,0.25,8.15,17,1,4,0,0,0,17.2,22,17,16,4,9,1,26,0,1,1,83,55,4.82,1.755,11.2,2.0,4.6,13.2,2.89
Julio Teheran,32,MIL,NL,2,4,0.333,4.01,9,9,0,0,0,0,51.2,46,24,23,8,11,0,35,3,2,0,208,109,4.76,1.103,8.0,1.4,1.9,6.1,3.18
Ryan Tepera,35,TOT,MLB,2,2,0.5,7.59,12,0,2,0,0,0,10.2,18,11,9,3,4,1,11,3,0,0,57,62,6.85,2.063,15.2,2.5,3.4,9.3,2.75
Ryan Tepera,35,LAA,AL,2,2,0.5,7.27,10,0,2,0,0,0,8.2,15,9,7,2,3,1,10,2,0,0,46,63,5.71,2.077,15.6,2.1,3.1,10.4,3.33
Ryan Tepera,35,STL,NL,0,0,0.0,9.0,2,0,0,0,0,0,2.0,3,2,2,1,1,0,1,1,0,0,11,57,11.79,2.0,13.5,4.5,4.5,4.5,1.0
Juan Then,23,SEA,AL,0,0,0.0,4.91,9,0,4,0,0,0,11.0,14,6,6,3,2,0,5,0,0,1,48,86,6.47,1.455,11.5,2.5,1.6,4.1,2.5
Caleb Thielbar ,36,MIN,AL,0,1,0.0,1.74,12,0,2,0,0,0,10.1,8,3,2,1,2,0,10,0,0,0,40,256,3.19,0.968,7.0,0.9,1.7,8.7,5.0
Lane Thomas,27,WSN,NL,0,0,0.0,27.0,1,0,1,0,0,0,1.0,3,3,3,1,0,0,1,0,0,0,6,21,14.29,3.0,27.0,9.0,0.0,9.0,0.0
Keegan Thompson,28,CHC,NL,2,2,0.5,4.22,15,0,3,0,0,0,21.1,14,10,10,1,14,0,16,0,0,2,91,107,4.37,1.313,5.9,0.4,5.9,6.8,1.14
Mason Thompson,25,WSN,NL,3,3,0.5,4.43,38,0,3,0,0,1,44.2,41,24,22,3,18,0,39,3,0,3,188,94,3.83,1.321,8.3,0.6,3.6,7.9,2.17
Ryan Thompson,31,TBR,AL,1,2,0.333,6.11,18,0,3,0,0,0,17.2,14,13,12,2,7,0,12,3,0,2,76,68,5.1,1.189,7.1,1.0,3.6,6.1,1.71
Zack Thompson ,25,STL,NL,2,3,0.4,5.79,13,0,0,0,0,0,14.0,17,10,9,1,11,0,19,0,0,1,67,77,3.86,2.0,10.9,0.6,7.1,12.2,1.73
Trent Thornton,29,TOR,AL,0,0,0.0,1.69,4,0,0,0,0,0,5.1,7,1,1,0,1,0,5,0,0,0,22,265,1.98,1.5,11.8,0.0,1.7,8.4,5.0
Michael Tonkin,33,ATL,NL,5,2,0.714,3.22,24,0,6,0,0,1,50.1,37,21,18,6,11,0,42,1,0,1,196,141,3.89,0.954,6.6,1.1,2.0,7.5,3.82
Justin Topa,32,SEA,AL,1,3,0.25,2.84,42,0,8,0,0,2,38.0,38,15,12,2,11,3,36,1,0,0,161,145,3.03,1.289,9.0,0.5,2.6,8.5,3.27
Touki Toussaint,27,TOT,AL,0,3,0.0,4.2,7,4,1,0,0,0,30.0,19,14,14,2,22,0,25,3,1,2,129,105,4.99,1.367,5.7,0.6,6.6,7.5,1.14
Touki Toussaint,27,CLE,AL,0,1,0.0,4.91,1,1,0,0,0,0,3.2,3,2,2,0,5,0,2,0,0,1,19,93,6.29,2.182,7.4,0.0,12.3,4.9,0.4
Touki Toussaint,27,CHW,AL,0,2,0.0,4.1,6,3,1,0,0,0,26.1,16,12,12,2,17,0,23,3,1,1,110,107,4.81,1.253,5.5,0.7,5.8,7.9,1.35
Alan Trejo,27,COL,NL,0,0,0.0,13.5,2,0,2,0,0,0,2.0,4,3,3,2,0,0,1,0,0,0,10,43,15.29,2.0,18.0,9.0,0.0,4.5,0.0
Spencer Turnbull,30,DET,AL,1,4,0.2,7.26,7,7,0,0,0,0,31.0,37,26,25,5,15,0,24,3,0,2,145,60,5.58,1.677,10.7,1.5,4.4,7.0,1.6
Edwin Uceta,25,NYM,NL,0,0,0.0,0.0,1,0,1,0,0,0,3.0,0,0,0,0,2,0,3,1,0,0,11,0,4.29,0.667,0.0,0.0,6.0,9.0,1.5
Erich Uelmen,27,PHI,NL,0,0,0.0,36.0,1,0,0,0,0,0,1.0,3,4,4,0,2,0,1,0,0,0,8,16,7.29,5.0,27.0,0.0,18.0,9.0,0.5
Duane Underwood Jr.,28,PIT,NL,1,0,1.0,5.18,20,0,9,0,0,2,24.1,24,14,14,3,11,0,14,0,0,0,100,87,5.1,1.438,8.9,1.1,4.1,5.2,1.27
José Ureña,31,COL,NL,0,4,0.0,9.82,5,5,0,0,0,0,18.1,27,22,20,9,14,0,9,0,0,1,93,52,10.98,2.236,13.3,4.4,6.9,4.4,0.64
Julio Urías ,26,LAD,NL,7,6,0.538,5.02,14,14,0,0,0,0,75.1,71,43,42,15,17,0,72,3,1,1,313,88,4.76,1.168,8.5,1.8,2.0,8.6,4.24
Abner Uribe,23,MIL,NL,0,0,0.0,2.08,3,0,2,0,0,0,4.1,3,1,1,0,1,0,7,0,1,0,17,225,0.75,0.923,6.2,0.0,2.1,14.5,7.0
José Urquidy,28,HOU,AL,2,2,0.5,5.2,6,6,0,0,0,0,27.2,33,16,16,6,10,0,23,1,0,0,123,81,5.64,1.554,10.7,2.0,3.3,7.5,2.3
Framber Valdez ,29,HOU,AL,8,6,0.571,2.94,19,19,0,1,1,0,122.1,104,45,40,9,30,0,133,5,0,5,495,142,2.93,1.095,7.7,0.7,2.2,9.8,4.43
Chris Vallimont,26,BAL,AL,0,0,0.0,0.0,1,0,1,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,2,0,0.29,1.5,13.5,0.0,0.0,13.5,0.0
Carlos Vargas,23,ARI,NL,0,0,0.0,5.79,5,0,3,0,0,0,4.2,5,3,3,2,4,0,7,1,0,0,22,79,9.07,1.929,9.6,3.9,7.7,13.5,1.75
Ildemaro Vargas,31,WSN,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
Gus Varland,26,MIL,NL,0,0,0.0,11.42,8,0,1,0,0,0,8.2,15,12,11,3,8,0,6,1,0,0,51,39,9.52,2.654,15.6,3.1,8.3,6.2,0.75
Louie Varland,25,MIN,AL,3,3,0.5,5.3,10,10,0,0,0,0,56.0,60,33,33,14,16,0,54,1,0,2,241,82,5.52,1.357,9.6,2.3,2.6,8.7,3.38
Andrew Vasquez ,29,PHI,NL,2,0,1.0,2.04,29,0,11,0,0,0,39.2,34,10,9,3,14,1,34,5,2,2,169,212,3.99,1.21,7.7,0.7,3.2,7.7,2.43
Randy Vásquez,24,NYY,AL,1,1,0.5,1.17,3,3,0,0,0,0,15.1,9,2,2,1,7,0,10,3,0,0,65,368,4.79,1.043,5.3,0.6,4.1,5.9,1.43
Vince Velasquez,31,PIT,NL,4,4,0.5,3.86,8,8,0,0,0,0,37.1,35,16,16,4,14,0,37,1,0,2,162,117,3.91,1.313,8.4,1.0,3.4,8.9,2.64
Drew VerHagen,32,STL,NL,4,0,1.0,4.7,36,0,10,0,0,0,38.1,38,23,20,6,18,2,40,2,1,3,176,93,4.8,1.461,8.9,1.4,4.2,9.4,2.22
Justin Verlander,40,NYM,NL,4,5,0.444,3.47,14,14,0,0,0,0,83.0,70,35,32,9,26,0,70,1,0,3,340,119,3.99,1.157,7.6,1.0,2.8,7.6,2.69
Alex Vesia ,27,LAD,NL,0,4,0.0,6.2,30,1,4,0,0,1,24.2,36,18,17,4,13,2,39,1,0,2,122,72,3.94,1.986,13.1,1.5,4.7,14.2,3.0
Nick Vespi ,27,BAL,AL,0,0,0.0,3.0,5,0,1,0,0,0,9.0,9,3,3,1,1,1,7,1,0,0,35,145,3.84,1.111,9.0,1.0,1.0,7.0,7.0
Will Vest,28,DET,AL,2,0,1.0,2.73,27,3,4,0,0,0,29.2,23,10,9,1,9,0,32,0,0,0,120,160,2.48,1.079,7.0,0.3,2.7,9.7,3.56
David Villar,26,SFG,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3,0,6.29,1.0,0.0,0.0,9.0,0.0,0.0
Jason Vosler,29,CIN,NL,0,0,0.0,4.5,2,0,2,0,0,0,2.0,5,1,1,0,0,0,0,0,0,0,11,122,3.29,2.5,22.5,0.0,0.0,0.0,0.0
Austin Voth,31,BAL,AL,1,2,0.333,4.94,23,0,4,0,0,0,31.0,35,19,17,6,14,1,31,3,0,0,144,86,5.45,1.581,10.2,1.7,4.1,9.0,2.21
Michael Wacha,31,SDP,NL,8,2,0.8,2.84,15,15,0,0,0,0,85.2,67,27,27,8,25,0,73,2,1,3,343,144,3.74,1.074,7.0,0.8,2.6,7.7,2.92
Adam Wainwright,41,STL,NL,3,4,0.429,7.66,11,11,0,0,0,0,51.2,84,50,44,10,19,0,28,1,0,1,254,57,5.88,1.994,14.6,1.7,3.3,4.9,1.47
Cole Waites,25,SFG,NL,0,0,0.0,15.43,3,0,2,0,0,0,2.1,6,5,4,0,2,0,2,0,0,0,15,32,4.15,3.429,23.1,0.0,7.7,7.7,1.0
Ken Waldichuk ,25,OAK,AL,2,6,0.25,6.75,23,13,2,0,0,1,80.0,98,64,60,16,49,1,78,5,0,2,381,60,5.96,1.838,11.0,1.8,5.5,8.8,1.59
Matt Waldron,26,SDP,NL,0,1,0.0,3.86,1,1,0,0,0,0,4.2,4,2,2,2,1,0,2,0,0,0,19,114,8.65,1.071,7.7,3.9,1.9,3.9,2.0
Josh Walker ,28,NYM,NL,0,1,0.0,6.75,8,0,1,0,0,0,6.2,7,6,5,0,6,0,6,0,0,1,32,64,4.19,1.95,9.5,0.0,8.1,8.1,1.0
Ryan Walker,27,SFG,NL,3,0,1.0,2.4,22,5,4,0,0,0,30.0,29,10,8,4,8,0,34,1,0,2,126,181,3.66,1.233,8.7,1.2,2.4,10.2,4.25
Taijuan Walker,30,PHI,NL,11,4,0.733,4.11,20,20,0,0,0,0,107.1,92,49,49,13,43,0,94,2,1,2,443,105,4.37,1.258,7.7,1.1,3.6,7.9,2.19
Brandon Walter ,26,BOS,AL,0,0,0.0,3.29,5,0,2,0,0,1,13.2,17,6,5,1,3,0,9,1,0,0,61,145,3.8,1.463,11.2,0.7,2.0,5.9,3.0
Andrew Wantz,27,LAA,AL,1,0,1.0,4.56,15,0,3,0,0,0,23.2,16,13,12,2,9,0,22,1,0,0,96,99,3.8,1.056,6.1,0.8,3.4,8.4,2.44
Thaddeus Ward,26,WSN,NL,0,0,0.0,7.12,22,0,7,0,0,0,30.1,26,24,24,7,24,1,26,0,0,1,136,59,6.95,1.648,7.7,2.1,7.1,7.7,1.08
Austin Warren,27,LAA,AL,1,0,1.0,5.4,2,0,1,0,0,0,1.2,2,1,1,1,0,0,2,0,0,0,6,99,8.69,1.2,10.8,5.4,0.0,10.8,0.0
Ryan Weathers ,23,SDP,NL,1,6,0.143,6.25,12,10,0,0,0,0,44.2,55,33,31,9,17,0,29,1,0,1,196,66,5.82,1.612,11.1,1.8,3.4,5.8,1.71
Luke Weaver,29,CIN,NL,2,2,0.5,7.22,16,16,0,0,0,0,76.0,100,61,61,19,24,0,64,2,0,2,348,66,5.88,1.632,11.8,2.3,2.8,7.6,2.67
Jacob Webb,29,LAA,AL,1,1,0.5,3.51,24,0,3,0,0,1,25.2,18,10,10,4,14,3,26,2,0,1,112,128,5.16,1.247,6.3,1.4,4.9,9.1,1.86
Logan Webb,26,SFG,NL,8,8,0.5,3.48,21,21,0,1,1,0,134.1,126,56,52,16,24,0,136,3,0,1,536,123,3.42,1.117,8.4,1.1,1.6,9.1,5.67
Ryan Weber,32,NYY,AL,1,0,1.0,3.14,8,0,4,0,0,1,14.1,17,5,5,2,1,0,7,1,0,0,60,138,4.54,1.256,10.7,1.3,0.6,4.4,7.0
Jordan Weems,30,WSN,NL,1,0,1.0,3.7,19,0,5,0,0,0,24.1,14,13,10,5,14,1,25,2,0,0,101,114,5.88,1.151,5.2,1.8,5.2,9.2,1.79
Zack Weiss,31,LAA,AL,1,0,1.0,3.86,5,0,0,0,0,0,4.2,6,2,2,2,1,0,6,0,0,0,21,123,6.93,1.5,11.6,3.9,1.9,11.6,6.0
Greg Weissert,28,NYY,AL,0,0,0.0,4.05,6,0,3,0,0,0,6.2,7,3,3,2,5,0,7,1,0,0,31,110,7.79,1.8,9.5,2.7,6.8,9.5,1.4
Tyler Wells,28,BAL,AL,7,5,0.583,3.54,19,18,0,0,0,0,106.2,79,44,42,22,26,0,105,1,2,2,420,118,4.76,0.984,6.7,1.9,2.2,8.9,4.04
Joey Wentz ,25,DET,AL,1,9,0.1,6.78,16,15,0,0,0,0,71.2,86,57,54,16,31,0,66,0,2,2,330,64,5.65,1.633,10.8,2.0,3.9,8.3,2.13
