Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Kaleb Ort,31,BOS,AL,1,2,0.333,6.26,21,2,7,0,0,0,23.0,27,19,16,6,9,1,24,1,0,2,107,75,5.9,1.565,10.6,2.3,3.5,9.4,2.67
Oliver Ortega,26,MIN,AL,0,0,0.0,3.27,7,0,0,0,0,0,11.0,5,4,4,2,3,0,9,0,0,1,41,136,4.83,0.727,4.1,1.6,2.5,7.4,3.0
Luis Ortiz,27,PHI,NL,0,0,0.0,3.86,10,0,6,0,0,1,14.0,15,6,6,1,5,0,12,0,0,0,60,114,3.57,1.429,9.6,0.6,3.2,7.7,2.4
Luis Ortiz,24,PIT,NL,2,3,0.4,4.86,11,10,0,0,0,0,53.2,67,33,29,11,26,0,34,1,0,3,247,92,6.2,1.733,11.2,1.8,4.4,5.7,1.31
Adam Ottavino,37,NYM,NL,0,4,0.0,3.66,42,0,19,0,0,6,39.1,30,16,16,5,17,1,38,6,2,5,167,113,4.76,1.195,6.9,1.1,3.9,8.7,2.24
Glenn Otto,27,TEX,AL,0,0,0.0,10.8,4,0,1,0,0,0,8.1,10,10,10,4,5,0,9,0,0,0,40,42,9.17,1.8,10.8,4.3,5.4,9.7,1.8
Connor Overton,29,CIN,NL,0,1,0.0,11.45,3,3,0,0,0,0,11.0,19,14,14,3,7,0,9,0,0,0,55,42,7.11,2.364,15.5,2.5,5.7,7.4,1.29
Johan Oviedo,25,PIT,NL,3,11,0.214,4.77,20,20,0,0,0,0,111.1,106,63,59,13,46,1,101,6,1,3,493,94,4.39,1.365,8.6,1.1,3.7,8.2,2.2
Chris Owings,31,PIT,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,6,0,3.29,2.0,18.0,0.0,0.0,0.0,0.0
Nicholas Padilla,26,CHW,AL,0,1,0.0,5.79,3,0,0,0,0,0,4.2,9,3,3,1,1,0,6,0,0,0,23,81,4.15,2.143,17.4,1.9,1.9,11.6,6.0
Emilio Pagán,32,MIN,AL,4,1,0.8,3.4,39,0,11,0,0,0,42.1,32,17,16,3,14,1,40,1,0,0,172,128,3.38,1.087,6.8,0.6,3.0,8.5,2.86
Daniel Palencia,23,CHC,NL,2,0,1.0,2.84,6,0,3,0,0,0,6.1,6,2,2,1,3,0,5,0,0,3,25,165,5.18,1.421,8.5,1.4,4.3,7.1,1.67
Andre Pallante,24,STL,NL,2,1,0.667,4.71,34,0,4,0,0,0,36.1,36,19,19,3,19,0,30,2,0,5,159,93,4.44,1.514,8.9,0.7,4.7,7.4,1.58
Thomas Pannone ,29,MIL,NL,0,0,0.0,6.75,1,0,0,0,0,0,2.2,5,2,2,0,1,0,4,0,0,2,14,73,1.41,2.25,16.9,0.0,3.4,13.5,4.0
